DimR	Family	Layer	Score
tSNE	Trace amine receptor	7	0.01
tSNE	Trace amine receptor	18	0.01
tSNE	Trace amine receptor	8	0.009
tSNE	Trace amine receptor	22	0.008
tSNE	Trace amine receptor	32	0.008
tSNE	Trace amine receptor	13	0.008
tSNE	Trace amine receptor	33	0.007
tSNE	Trace amine receptor	14	0.007
tSNE	Trace amine receptor	25	0.007
tSNE	Trace amine receptor	20	0.007
tSNE	Trace amine receptor	26	0.007
tSNE	Trace amine receptor	1	0.007
tSNE	Trace amine receptor	27	0.007
tSNE	Trace amine receptor	28	0.007
tSNE	Trace amine receptor	23	0.007
tSNE	Trace amine receptor	11	0.007
tSNE	Trace amine receptor	10	0.007
tSNE	Trace amine receptor	9	0.007
tSNE	Trace amine receptor	5	0.007
tSNE	Trace amine receptor	4	0.007
tSNE	Trace amine receptor	3	0.007
tSNE	Trace amine receptor	2	0.007
tSNE	Trace amine receptor	24	0.006
tSNE	Trace amine receptor	31	0.006
tSNE	Trace amine receptor	0	0.006
tSNE	Trace amine receptor	21	0.006
tSNE	Trace amine receptor	19	0.006
tSNE	Trace amine receptor	16	0.006
tSNE	Trace amine receptor	15	0.006
tSNE	Trace amine receptor	12	0.006
tSNE	Trace amine receptor	6	0.006
tSNE	Trace amine receptor	29	0.005
tSNE	Trace amine receptor	30	0.005
tSNE	Trace amine receptor	17	0.005
