DimR	Family	Layer	Score
PCA	Gonadotrophin-releasing hormone receptors	1	0.015
PCA	Gonadotrophin-releasing hormone receptors	28	0.011
PCA	Gonadotrophin-releasing hormone receptors	27	0.011
PCA	Gonadotrophin-releasing hormone receptors	32	0.01
PCA	Gonadotrophin-releasing hormone receptors	31	0.01
PCA	Gonadotrophin-releasing hormone receptors	30	0.009
PCA	Gonadotrophin-releasing hormone receptors	29	0.009
PCA	Gonadotrophin-releasing hormone receptors	26	0.009
PCA	Gonadotrophin-releasing hormone receptors	5	0.008
PCA	Gonadotrophin-releasing hormone receptors	25	0.008
PCA	Gonadotrophin-releasing hormone receptors	33	0.007
PCA	Gonadotrophin-releasing hormone receptors	3	0.007
PCA	Gonadotrophin-releasing hormone receptors	24	0.007
PCA	Gonadotrophin-releasing hormone receptors	23	0.006
PCA	Gonadotrophin-releasing hormone receptors	0	0.005
PCA	Gonadotrophin-releasing hormone receptors	2	0.005
PCA	Gonadotrophin-releasing hormone receptors	17	0.004
PCA	Gonadotrophin-releasing hormone receptors	18	0.004
PCA	Gonadotrophin-releasing hormone receptors	19	0.004
PCA	Gonadotrophin-releasing hormone receptors	20	0.004
PCA	Gonadotrophin-releasing hormone receptors	4	0.004
PCA	Gonadotrophin-releasing hormone receptors	22	0.004
PCA	Gonadotrophin-releasing hormone receptors	6	0.004
PCA	Gonadotrophin-releasing hormone receptors	8	0.003
PCA	Gonadotrophin-releasing hormone receptors	7	0.003
PCA	Gonadotrophin-releasing hormone receptors	15	0.003
PCA	Gonadotrophin-releasing hormone receptors	11	0.003
PCA	Gonadotrophin-releasing hormone receptors	16	0.003
PCA	Gonadotrophin-releasing hormone receptors	13	0.003
PCA	Gonadotrophin-releasing hormone receptors	21	0.003
PCA	Gonadotrophin-releasing hormone receptors	14	0.003
PCA	Gonadotrophin-releasing hormone receptors	12	0.003
PCA	Gonadotrophin-releasing hormone receptors	10	0.002
PCA	Gonadotrophin-releasing hormone receptors	9	0.002
