Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-23.7591583094957	-21.8413166740923
LGR6	-	-	-	-	NA	classA	-13.3532471752605	-27.6122142891859
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-13.0390962382873	-38.2871511656412
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-24.7645150356302	-22.1628517324715
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	-12.8024399497721	-37.5773302483653
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-13.6163875002639	-32.1106729108483
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	-15.6957092397984	-36.9282216374665
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	-15.5529924883868	-38.1144335380454
GRM4	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-12.8357457398078	-31.1592270381459
ADGRF1	-	-	-	-	NA	classB	-15.107045308875	-37.4242877038444
GRM8	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	34.1248780904413	-11.7283270029449
LGR5	-	-	-	-	NA	classA	-3.2599213353942	-33.2825009305343
ADGRE1	-	-	-	-	NA	classB	-14.9042675006602	-34.375406638849
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	-17.098883380558	-37.7595328178873
GRM6	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-17.0510123300401	-29.8949381017388
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-15.495092361057	-34.3027158228921
GRM2	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-19.2289858616059	-31.1427758104252
TAS1R3	-	-	-	-	NA	classC	-18.0784724445002	-31.1574452901993
TAS1R1	-	-	-	-	NA	classC	-18.0344758365647	-32.052696107184
TAS1R2	-	-	-	-	NA	classC	-3.15050296878872	-32.7241796382319
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-4.02776029238331	-32.4726947898656
ADGRE2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-21.4327490287128	16.8495564070814
GPR156	-	-	-	-	NA	classC	-9.64761095008102	-30.7366876513753
ADGRG7	-	-	-	-	NA	classB	-27.9311386254238	13.2695206434831
SMO	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-16.7762007150759	-21.177848502145
TSHR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-20.6721980281837	-21.1967295594569
RXFP1	Coupled	-	-	-	Relaxin family peptide receptors	classA	-19.9366664915754	-21.1648643905329
RXFP2	Coupled	-	-	-	Relaxin family peptide receptors	classA	-19.5836997889079	17.622951146473
GPR149	-	-	-	-	NA	classA	-10.3781542952836	-27.0260711318003
ADGRF2	-	-	-	-	NA	classB	-27.1690919169218	11.4493789466132
FZD6	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-17.7847904944057	-21.5299505927356
LHCGR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-9.99495676851748	-26.9076229725435
ADGRF4	-	-	-	-	NA	classB	-17.4291174920058	-20.7020204507261
FSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	-33.936313578257	14.3621593747914
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-22.2422300513214	-13.0416386407965
ADGRG1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-7.84359860922203	-30.5060875053324
