Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
To	-	-	-	-	NA	NA	0.8647668957710266	0.23124536871910095
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	0.7040258646011353	0.5004733204841614
LGR6	-	-	-	-	NA	Other	0.8088046908378601	0.14373591542243958
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.68946373462677	0.4177936911582947
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.7061885595321655	0.5465774536132812
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.7310634851455688	0.40215811133384705
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.7375943064689636	0.3366977572441101
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	0.6859359741210938	0.47095856070518494
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.6888781785964966	0.45993363857269287
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.8245837688446045	0.22590136528015137
ADGRF1	-	-	-	-	NA	classB	0.6900556087493896	0.46635374426841736
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.6894331574440002	0.5577039122581482
LGR5	-	-	-	-	NA	Other	0.703136682510376	0.21120667457580566
ADGRE1	-	-	-	-	NA	classB	0.6665419340133667	0.458567351102829
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.6687613129615784	0.4447815418243408
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.7807378768920898	0.254713237285614
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6515765190124512	0.4555469751358032
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.7056888341903687	0.2554667592048645
TAS1R3	-	-	-	-	NA	classC	0.6832283735275269	0.2668805718421936
TAS1R1	-	-	-	-	NA	classC	0.6936367750167847	0.3077542781829834
TAS1R2	-	-	-	-	NA	classC	0.6990100145339966	0.16038888692855835
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6827917098999023	0.13974207639694214
ADGRE2	Coupled	-	-	-	Adhesion Class GPCRs	classB	1.0	0.13326621055603027
GPR156	-	-	-	-	NA	classC	0.7899389266967773	0.24530243873596191
ADGRG7	-	-	-	-	NA	classB	0.912833571434021	0.18307480216026306
SMO	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7357422113418579	0.5184313654899597
TSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	0.6441939473152161	0.522761344909668
RXFP1	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	0.6429260969161987	0.505526602268219
RXFP2	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	0.9251874089241028	0.3662996292114258
GPR149	-	-	-	-	NA	Other	0.8375153541564941	0.14313113689422607
ADGRF2	-	-	-	-	NA	classB	0.8239865303039551	0.24104167520999908
FZD6	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7008423209190369	0.5135647058486938
LHCGR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	0.8048563003540039	0.1709904968738556
ADGRF4	-	-	-	-	NA	classB	0.6625062823295593	0.5540930032730103
FSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	0.7300110459327698	0.2940855920314789
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.8713349103927612	0.008571416139602661
ADGRG1	Coupled	-	-	-	Adhesion Class GPCRs	classB	0.7466740012168884	0.26040223240852356
ADGRL4	-	-	-	-	NA	classB	0.7760091423988342	0.263827383518219
FZD3	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7067488431930542	0.15003064274787903
ADGRE3	-	-	-	-	NA	classB	0.7369787096977234	0.2319389283657074
FZD1	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.5115552544593811	0.6978746652603149
GPR50	-	-	-	-	NA	classA	0.6735451221466064	0.42929255962371826
GPR37	Not-coupled	-	-	-	Class A Orphans	classA	0.8192059993743896	0.4303590655326843
GPR153	-	-	-	-	NA	classA	0.8674483299255371	0.17463675141334534
GPR107	-	-	-	-	NA	Other	0.7377865314483643	0.1780865490436554
PTH1R	Coupled	Coupled	Coupled	-	Parathyroid hormone receptors	classB	0.7428746223449707	0.1954183578491211
FZD9	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.6670529246330261	0.8454470038414001
CHRM3	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.827889084815979	0.4537510275840759
GPR162	-	-	-	-	NA	classA	0.6933150887489319	0.2333044707775116
FZD5	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7512457370758057	0.20694860816001892
FZD10	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7070684432983398	0.21700194478034973
FZD7	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.6365264654159546	0.7383104562759399
ADRA1D	Coupled	Coupled	-	-	Adrenoceptors	classA	0.698848307132721	0.2104279100894928
FZD2	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.8840821981430054	0.16364604234695435
ADGRA1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.7204321622848511	0.07083204388618469
GLP2R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	0.7138005495071411	0.1747303307056427
PTH2R	-	Coupled	-	-	NA	classB	0.7580020427703857	0.019824445247650146
ADGRG3	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.7581658959388733	0.6370574235916138
GPR75	Coupled	-	-	-	Class A Orphans	classA	0.6907377243041992	0.2034006416797638
FZD4	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.6354057788848877	0.8363251686096191
CHRM5	Coupled	Coupled	-	-	Acetylcholine receptors (muscarinic)	classA	0.7254520654678345	0.7029294967651367
GPR161	-	-	-	-	NA	classA	0.7251880168914795	0.0
ADGRG5	-	-	-	-	NA	classB	0.5108156204223633	0.738660454750061
NPFFR2	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	0.6306287050247192	0.8024560809135437
ADRA1B	Coupled	Coupled	-	-	Adrenoceptors	classA	0.6235969066619873	0.615092396736145
GPR176	-	-	-	-	NA	classA	0.5561056137084961	0.6513979434967041
GPR101	Not-coupled	-	-	-	Class A Orphans	classA	0.6294880509376526	0.6814138293266296
GPR135	-	-	-	-	NA	classA	0.7223861217498779	0.38469198346138
PTGER4	Not-coupled	Not-coupled	Coupled	-	Prostanoid receptors	classA	0.6329406499862671	0.8462939262390137
HRH1	Coupled	Coupled	Coupled	-	Histamine receptors	classA	0.4268222749233246	0.3688710331916809
C3AR1	Not-coupled	-	-	-	Complement peptide receptors	classA	0.6173027157783508	0.8696242570877075
